GPSaddress,Bldg name,Bldg units,Bldg flrs,Source,latlong,Barsala,Bay Village,Blue Corporate Housing,Bluebird,Churchill Corporate Housing,Compass,Express Corporate Housing,Evonify,Furnished Quarters,Global Luxury Suites,Maverick Suites ,National Corporate Housing,Northeast Suites,Oakwood Worldwide,Princeton Properties,Seamless Transitions,Sonder,Stay Alfred,Stayawhile,O-Lodging House,O-Exec Suite,lat,long
"1 Canal St, Boston MA 02114",,,12,BigBldgDB,"42.3637626,-71.05897159999999",,,,,,,,,,,,,,,,,,,,,,42.3637626,-71.0589716
"1 Dalton St, Boston MA 02115",Belvedere/Dalton Towers,,59,BigBldgDB,"42.345,-71.08431399999999",,,,,,,,,,,,,,,,,,,,,,42.345,-71.084314
"1 Nassau St, Boston MA 02111",Metropolitan Condos,,23,AirBPDBjn,"42.3487275,-71.0629888",,,,,,,,,,,,,,,,,,,,,,42.3487275,-71.0629888
"10 Camelot Ct, Brighton MA 02135",Camelot Court,,6,BigBldgDB,"42.3500295,-71.14127739999999",,,,,,,,,,,,,,,,,,,,,,42.3500295,-71.1412774
"10 Emerson Place, Boston MA 02114",Emerson Place Apartments,320,11,RichCorpSS,"42.3651112,-71.0689601",,,,,,,,,,1,,,1,,,1,,,,,,42.3651112,-71.0689601
"10 Jamaicaway, Jamaica Plain MA 02130",,,6,AirBPDBjn,"42.3312578,-71.112442",,,,,,,,,,,,,,,,,,,,,,42.3312578,-71.112442
"130 Dartmouth St, Boston MA 02118",Tent City,,12,BigBldgDB,"42.34628,-71.076174",,,,,,,,,,,,,,,,,,,,,,42.34628,-71.076174
"100 Arlington Street, Boston MA 02116",The Arlington,128,14,RichCorpSS,"42.34990639999999,-71.06946169999999",,,,,1,,,,1,,,,1,,,,,,,,,42.3499064,-71.0694617
"100 Beacon St, Boston MA 02116",,,10,AirBPDBjn,"42.3552678,-71.07396539999999",,,,,,,,,,,,,,,,,,,,,,42.3552678,-71.0739654
"100 Belvidere St, Boston MA 02199",Belvedere Residences,,11,AirBPDBjn,"42.3459699,-71.08227339999999",,,,,,,,,,,,,,,,,,,,,,42.3459699,-71.0822734
"100 Pier Four Blvd, Boston MA 02210",100 Pier 4 (aka 136-146 Northern Ave.),369,21,RichCorpSS,"42.3514888,-71.0433501",,,,,,,,,,1,,,1,,,,,,,,,42.3514888,-71.0433501
"100 Norway St, Boston MA 02115",Morville House,,12,BigBldgDB,"42.3449253,-71.08830449999999",,,,,,,,,,,,,,,,,,,,,,42.3449253,-71.0883045
"101 Broad Street, Boston MA 02110",,,9,RichCorpSS,"42.3572368,-71.0525633",,,,,,,,,,,,,,1,,,,,,,,42.3572368,-71.0525633
"101 Canal Street, Boston MA 02114","Avenir Apartments, North End",,10,RichCorpSS,"42.3650387,-71.0602864",,,1,,,,1,,,1,,,1,,,,,,,,,42.3650387,-71.0602864
"101 South Huntington Ave, Jamaica Plain MA 02130",Serenity Apartments,195,13,RichCorpSS,"42.3294042,-71.11152229999999",,,,,1,,,,,1,,,,,,,,,,,,42.3294042,-71.1115223
"103 Arch Street, Boston MA 02110",,,5,RichCorpSS,"42.354857,-71.0588721",,,,,,,,,,,,,,,,,1,,,,,42.354857,-71.0588721
"103 Myrtle Street, Boston MA 02108",The Braxton,,4,RichCorpSS,"42.35937209999999,-71.0682762",,,,,,,,,,,,,,,,1,,,,,,42.3593721,-71.0682762
"1030-1070 Tremont St, Boston MA 02120",Roxse House,,8,BigBldgDB,"42.3366425,-71.0849222",,,,,,,,,,,,,,,,,,,,,,42.3366425,-71.0849222
"1035-1037 Commonwealth Av, Allston MA 02134",270 Babcock St,,23,BigBldgDB,"42.3526526,-71.1218366",,,,,,,,,,,,,,,,,,,,,,42.3526526,-71.1218366
"1079 Commonwealth Av, Allston MA 02134",Atrium on Commonwealth,,6,BigBldgDB,"42.352424,-71.1241582",,,,,,,,,,,,,,,,,,,,,,42.352424,-71.1241582
"108 Peterborough St, Boston MA 02115",,,8,AirBPDBjn,"42.3428312,-71.09987029999999",,,,,,,,,,,,,,,,,,,,,,42.3428312,-71.0998703
"1085 Boylston Street, Boston MA 02215",Artlab Back Bay,30,6,RichCorpSS,"42.3472473,-71.0890768",,,,,,1,,,,,,,1,,,,,,,,,42.3472473,-71.0890768
"11 Hereford St, Boston MA 02115",Back Bay Suites,,4,RichCorpSS,"42.3511707,-71.08696979999999",,,,,,,,,,,,,,,,1,,,,,,42.3511707,-71.0869698
"110 Beverly Street, Boston MA 02114",The Victor,284,12,RichCorpSS,"42.3655068,-71.0598409",,,,,,,,,,,,1,,,,,,,,,,42.3655068,-71.0598409
